house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent,rent_per_sqft
"2 BHK Flat for Rent in Bagaluru, Bangalore",Bagaluru,Bengaluru,655.0,2,2,2,Unfurnished,38.0,25000.0,38.17
"3 BHK Flat for Rent in Bagaluru, Bangalore",Bagaluru,Bengaluru,1277.0,3,2,2,Semi-Furnished,26.0,33000.0,25.84
"2 BHK Flat for Rent in Balagere, Bangalore",Balagere,Bengaluru,1200.0,2,2,2,Semi-Furnished,16.0,19000.0,15.83
2 BHK House for Rent in Balagere Bangalore,Balagere,Bengaluru,900.0,2,2,0,Furnished,28.0,25000.0,27.78
"2 BHK Flat for Rent in Balagere, Bangalore",Balagere,Bengaluru,850.0,2,2,0,Semi-Furnished,47.0,40000.0,47.06
"2 BHK Flat for Rent in Balagere, Bangalore",Balagere,Bengaluru,900.0,2,2,0,Furnished,58.0,52000.0,57.78
"3 BHK Flat for Rent in Balagere, Bangalore",Balagere,Bengaluru,1700.0,3,3,2,Semi-Furnished,37.0,63000.0,37.06
"3 BHK Flat for Rent in Balagere, Bangalore",Balagere,Bengaluru,1250.0,3,3,0,Semi-Furnished,52.0,65000.0,52.0
3 BHK House for Rent in Balaji Layout Kaggadasapura Bangalore,Balaji Layout,Bengaluru,2300.0,3,3,0,Semi-Furnished,24.0,55000.0,23.91
"4 BHK Flat for Rent in Balaji Layout Cooke Town, Bangalore",Balaji Layout Cooke Town,Bengaluru,2500.0,4,4,2,Semi-Furnished,60.0,150000.0,60.0
1 BHK House for Rent in Banashankari Bangalore,Banashankari,Bengaluru,200.0,1,1,0,Semi-Furnished,28.0,5500.0,27.5
1 BHK House for Rent in Banashankari Bangalore,Banashankari,Bengaluru,424.0,1,1,0,Unfurnished,14.0,6000.0,14.15
1 BHK House for Rent in Banashankari Bangalore,Banashankari,Bengaluru,528.0,1,1,0,Unfurnished,17.0,8800.0,16.67
2 BHK House for Rent in Banashankari Bangalore,Banashankari,Bengaluru,1200.0,2,2,0,Semi-Furnished,29.0,35000.0,29.17
"3 BHK Flat for Rent in Banashankari, Bangalore",Banashankari,Bengaluru,2400.0,3,3,0,Unfurnished,19.0,45000.0,18.75
"3 BHK Flat for Rent in Banashankari, Bangalore",Banashankari,Bengaluru,2378.0,3,3,0,Semi-Furnished,28.0,66300.0,27.88
"3 BHK Flat for Rent in Banashankari, Bangalore",Banashankari,Bengaluru,2522.0,3,3,0,Unfurnished,31.0,79000.0,31.32
"3 BHK Flat for Rent in Banashankari, Bangalore",Banashankari,Bengaluru,1891.0,3,3,0,Semi-Furnished,42.0,80000.0,42.31
4 BHK House for Rent in Banashankari Bangalore,Banashankari,Bengaluru,3500.0,4,4,0,Semi-Furnished,23.0,80000.0,22.86
"4 BHK Flat for Rent in Banashankari, Bangalore",Banashankari,Bengaluru,2403.0,4,4,0,Unfurnished,37.0,90000.0,37.45
4 BHK House for Rent in Banashankari Bangalore,Banashankari,Bengaluru,4500.0,4,4,4,Semi-Furnished,33.0,150000.0,33.33
6 BHK Villa for Rent in Block 11th Stage 6th Banakshankari Bangalore,Banashankari 6Th Stage-11Th Block,Bengaluru,4000.0,6,6,0,Semi-Furnished,18.0,70000.0,17.5
1 BHK House for Rent in Stage 1 Banashankari Bangalore,Banashankari Stage 1,Bengaluru,200.0,1,1,0,Unfurnished,26.0,5300.0,26.5
1 BHK House for Rent in Stage 2nd Banashankari Bangalore,Banashankari Stage 2,Bengaluru,520.0,1,2,0,Unfurnished,10.0,5000.0,9.62
"1 BHK Flat for Rent in Stage 2nd Banashankari, Bangalore",Banashankari Stage 2,Bengaluru,300.0,1,1,0,Semi-Furnished,35.0,10500.0,35.0
"2 BHK Flat for Rent in Stage 3rd Banashankari, Bangalore",Banashankari Stage 3,Bengaluru,1200.0,2,2,2,Unfurnished,25.0,30000.0,25.0
"3 BHK Flat for Rent in Stage 3rd Banashankari, Bangalore",Banashankari Stage 3,Bengaluru,1400.0,3,2,0,Semi-Furnished,24.0,33000.0,23.57
"1 BHK Flat for Rent in Stage 6th Banashankari, Bangalore",Banashankari Stage 6,Bengaluru,400.0,1,1,0,Semi-Furnished,50.0,20000.0,50.0
"1 BHK Flat for Rent in Stage 6th Banashankari, Bangalore",Banashankari Stage 6,Bengaluru,370.0,1,1,0,Semi-Furnished,68.0,25000.0,67.57
"1 BHK Flat for Rent in Stage 6th Banashankari, Bangalore",Banashankari Stage 6,Bengaluru,572.0,1,1,0,Semi-Furnished,44.0,25000.0,43.71
2 BHK House for Rent in Stage 6th Banashankari Bangalore,Banashankari Stage 6,Bengaluru,1000.0,2,2,0,Unfurnished,12.0,12000.0,12.0
"2 BHK Flat for Rent in Stage 6th Banashankari, Bangalore",Banashankari Stage 6,Bengaluru,989.0,2,2,2,Semi-Furnished,32.0,32000.0,32.36
"2 BHK Flat for Rent in Stage 6th Banashankari, Bangalore",Banashankari Stage 6,Bengaluru,605.0,2,2,0,Semi-Furnished,58.0,35000.0,57.85
"2 BHK Flat for Rent in Stage 6th Banashankari, Bangalore",Banashankari Stage 6,Bengaluru,989.0,2,2,0,Semi-Furnished,36.0,35500.0,35.89
1 BHK House for Rent in Banaswadi Bangalore,Banaswadi,Bengaluru,850.0,1,1,0,Semi-Furnished,11.0,9500.0,11.18
"2 BHK Flat for Rent in Banaswadi, Bangalore",Banaswadi,Bengaluru,1225.0,2,3,3,Semi-Furnished,29.0,35000.0,28.57
"3 BHK Flat for Rent in Banaswadi, Bangalore",Banaswadi,Bengaluru,1600.0,3,3,2,Semi-Furnished,28.0,44000.0,27.5
1 BHK House for Rent in Bangalore Shivamogga Road Bangalore,Bangalore Shivamogga Road,Bengaluru,650.0,1,1,0,Unfurnished,10.0,6250.0,9.62
3 BHK House for Rent in Bank Colony Konanakunte Bangalore,Bank Colony Konanakunte,Bengaluru,1250.0,3,3,2,Semi-Furnished,20.0,25000.0,20.0
"1 BHK Flat for Rent in Bannerughatta, Bangalore",Bannerghatta,Bengaluru,470.0,1,1,0,Semi-Furnished,68.0,32000.0,68.09
2 BHK House for Rent in Bannerughatta Bangalore,Bannerghatta,Bengaluru,900.0,2,2,0,Semi-Furnished,20.0,18000.0,20.0
2 BHK House for Rent in Bannerughatta Bangalore,Bannerghatta,Bengaluru,1000.0,2,2,0,Semi-Furnished,18.0,18000.0,18.0
"3 BHK Flat for Rent in Bannerughatta, Bangalore",Bannerghatta,Bengaluru,1342.0,3,2,0,Semi-Furnished,35.0,47000.0,35.02
"3 BHK Flat for Rent in Bannerughatta, Bangalore",Bannerghatta,Bengaluru,1600.0,3,3,2,Semi-Furnished,44.0,70000.0,43.75
3 BHK Villa for Rent in Bannerughatta Bangalore,Bannerghatta,Bengaluru,1800.0,3,3,2,Semi-Furnished,40.0,72000.0,40.0
2 BHK House for Rent in Bannerghatta Main Road Bangalore,Bannerghatta Road,Bengaluru,1200.0,2,2,0,Semi-Furnished,13.0,16000.0,13.33
"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,1150.0,2,2,2,Semi-Furnished,22.0,25000.0,21.74
2 BHK House for Rent in Bannerghatta Main Road Bangalore,Bannerghatta Road,Bengaluru,800.0,2,2,0,Unfurnished,34.0,27000.0,33.75
"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,1380.0,2,2,2,Unfurnished,22.0,30000.0,21.74
"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,965.0,2,2,2,Semi-Furnished,33.0,32000.0,33.16
